"ImageId","Label"
1,"4"
2,"4"
3,"4"
4,"7"
5,"4"
6,"7"
7,"4"
8,"7"
9,"4"
10,"7"
11,"7"
12,"7"
13,"4"
14,"4"
15,"7"
16,"4"
17,"4"
18,"7"
19,"7"
20,"7"
21,"7"
22,"7"
23,"7"
24,"4"
25,"7"
26,"7"
27,"4"
28,"7"
29,"7"
30,"7"
31,"4"
32,"4"
33,"7"
34,"7"
35,"4"
36,"4"
37,"7"
38,"4"
39,"7"
40,"4"
41,"7"
42,"7"
43,"4"
44,"4"
45,"7"
46,"7"
47,"7"
48,"7"
49,"7"
50,"7"
51,"4"
52,"7"
53,"7"
54,"4"
55,"7"
56,"4"
57,"7"
58,"7"
59,"4"
60,"4"
61,"7"
62,"7"
63,"4"
64,"7"
65,"4"
66,"7"
67,"7"
68,"7"
69,"7"
70,"7"
71,"4"
72,"7"
73,"4"
74,"7"
75,"4"
76,"4"
77,"4"
78,"7"
79,"4"
80,"4"
81,"7"
82,"7"
83,"7"
84,"7"
85,"4"
86,"4"
87,"4"
88,"4"
89,"7"
90,"7"
91,"4"
92,"4"
93,"4"
94,"4"
95,"4"
96,"7"
97,"4"
98,"7"
99,"7"
100,"7"
101,"7"
102,"7"
103,"7"
104,"4"
105,"7"
106,"7"
107,"4"
108,"7"
109,"4"
110,"4"
111,"4"
112,"4"
113,"7"
114,"7"
115,"7"
116,"4"
117,"7"
118,"7"
119,"4"
120,"7"
121,"7"
122,"7"
123,"4"
124,"7"
125,"4"
126,"4"
127,"7"
128,"7"
129,"4"
130,"7"
131,"4"
132,"4"
133,"7"
134,"7"
135,"4"
136,"7"
137,"4"
138,"7"
139,"7"
140,"4"
141,"4"
142,"7"
143,"7"
144,"4"
145,"4"
146,"4"
147,"7"
148,"7"
149,"4"
150,"7"
151,"4"
152,"7"
153,"4"
154,"4"
155,"4"
156,"7"
157,"4"
158,"7"
159,"7"
160,"7"
161,"7"
162,"7"
163,"4"
164,"4"
165,"7"
166,"7"
167,"7"
168,"4"
169,"4"
170,"4"
171,"4"
172,"7"
173,"7"
174,"4"
175,"7"
176,"4"
177,"7"
178,"7"
179,"7"
180,"7"
181,"7"
182,"7"
183,"7"
184,"4"
185,"4"
186,"7"
187,"4"
188,"7"
189,"7"
190,"7"
191,"4"
192,"4"
193,"7"
194,"4"
195,"7"
196,"4"
197,"7"
198,"7"
199,"4"
200,"7"
201,"7"
202,"7"
203,"7"
204,"7"
205,"7"
206,"4"
207,"7"
208,"7"
209,"7"
210,"4"
211,"4"
212,"7"
213,"4"
214,"7"
215,"7"
216,"7"
217,"7"
218,"4"
219,"7"
220,"7"
221,"4"
222,"4"
223,"7"
224,"4"
225,"4"
226,"7"
227,"7"
228,"4"
229,"7"
230,"7"
231,"7"
232,"7"
233,"7"
234,"7"
235,"4"
236,"4"
237,"4"
238,"7"
239,"7"
240,"4"
241,"4"
242,"4"
243,"4"
244,"7"
245,"4"
246,"4"
247,"7"
